32767,0
32552,265
31910,521
30849,755
29385,960
27535,1124
25326,1241
22787,1303
19951,1305
16856,1240
13544,1108
10059,905
6447,633
2756,293
-963,-110
-4664,-574
-8296,-1090
-11811,-1650
-15164,-2245
-18310,-2863
-21208,-3494
-23820,-4125
-26113,-4742
-28057,-5331
-29627,-5881
-30803,-6376
-31572,-6805
-31925,-7154
-31858,-7413
-31374,-7571
-30481,-7619
-29192,-7551
-27526,-7360
-25506,-7044
-23162,-6600
-20525,-6031
-17632,-5337
-14522,-4526
-11238,-3603
-7824,-2579
-4325,-1465
-789,-274
2736,977
6206,2273
9574,3595
12796,4925
15830,6242
18637,7525
21182,8754
23432,9909
25359,10969
26941,11916
28159,12730
28999,13396
29453,13899
29517,14225
29194,14364
28492,14309
27422,14053
26001,13594
24253,12933
22201,12073
19877,11020
17313,9785
14546,8378
11615,6817
8559,5118
5421,3301
2242,1391
-932,-589
-4063,-2613
-7108,-4654
-10027,-6683
-12784,-8672
-15342,-10591
-17670,-12413
-19741,-14110
-21528,-15654
-23012,-17023
-24177,-18191
-25010,-19140
-25505,-19851
-25659,-20309
-25474,-20504
-24958,-20426
-24121,-20072
-22979,-19442
-21550,-18537
-19859,-17367
-17932,-15941
-15796,-14276
-13485,-12388
-11030,-10301
-8469,-8039
-5835,-5630
-3165,-3105
-497,-495
2134,2163
4695,4836
7151,7487
9472,10080
11628,12579
13593,14948
15344,17154
16862,19163
18129,20946
19134,22475
19868,23727
20326,24681
20507,25319
20414,25629
20053,25602
19435,25235
18574,24528
17485,23487
16189,22121
14708,20445
13065,18478
11287,16244
9401,13768
7435,11082
5418,8220
3378,5217
1344,2114
-655,-1049
-2595,-4231
-4449,-7389
-6195,-10481
-7810,-13464
-9276,-16297
-10578,-18942
-11700,-21360
-12634,-23517
-13370,-25383
-13905,-26929
-14237,-28133
-14367,-28975
-14300,-29441
-14042,-29523
-13605,-29215
-12998,-28519
-12238,-27442
-11339,-25994
-10319,-24194
-9197,-22062
-7994,-19624
-6728,-16911
-5421,-13958
-4094,-10801
-2767,-7483
-1458,-4046
-188,-536
1026,3001
2171,6519
3230,9970
4192,13309
5046,16489
5785,19468
6401,22206
6892,24664
7256,26809
7494,28610
7607,30043
7602,31086
7484,31725
7262,31949
6946,31754
6546,31140
6074,30115
5543,28690
4967,26884
4358,24719
3731,22223
3099,19428
2474,16370
1869,13090
1295,9630
761,6036
277,2356
-149,-1362
-514,-5070
-811,-8717
-1040,-12255
-1199,-15637
-1288,-18818
-1311,-21756
-1271,-24411
-1174,-26748
-1026,-28735
-836,-30346
-612,-31560
-363,-32361
-100,-32736
166,-32682
427,-32200
670,-31295
887,-29980
1068,-28272
1203,-26195
1287,-23776
1312,-21046
1272,-18044
1166,-14809
990,-11383
743,-7813
429,-4147
48,-432
-393,3281
-890,6945
-1435,10510
-2018,13929
-2629,17157
-3257,20153
-3889,22876
-4513,25293
-5114,27370
-5680,29083
-6198,30409
-6653,31332
-7033,31842
-7327,31932
-7524,31604
-7614,30863
-7590,29720
-7446,28193
-7177,26303
-6782,24077
-6259,21546
-5611,18745
-4843,15711
-3961,12487
-2974,9116
-1892,5644
-729,2116
501,-1418
1783,-4914
3098,-8326
4427,-11607
5751,-14717
7049,-17613
8301,-20260
9486,-22624
10584,-24676
11575,-26390
12441,-27746
13165,-28729
13730,-29328
14124,-29539
14335,-29360
14353,-28799
14173,-27865
13790,-26574
13205,-24945
12419,-23004
11437,-20778
10269,-18300
8925,-15605
7419,-12731
5770,-9717
3995,-6604
2117,-3436
159,-254
-1851,2897
-3889,5979
-5926,8950
-7933,11771
-9882,14408
-11743,16826
-13490,18996
-15095,20892
-16532,22492
-17778,23778
-18811,24737
-19613,25359
-20168,25641
-20462,25583
-20488,25190
-20238,24471
-19710,23442
-18908,22118
-17836,20523
-16505,18681
-14927,16619
-13121,14370
-11105,11965
-8906,9440
-6549,6828
-4063,4168
-1481,1495
1162,-1154
3834,-3745
6498,-6244
9117,-8619
11656,-10840
14077,-12880
16348,-14714
18434,-16321
20305,-17684
21933,-18789
23292,-19625
24359,-20187
25117,-20471
25552,-20480
25652,-20219
25413,-19696
24833,-18924
23916,-17919
22671,-16698
21109,-15284
19249,-13699
17111,-11968
14723,-10120
12112,-8180
9311,-6179
6357,-4144
3287,-2104
141,-89
-3038,1876
-6211,3765
-9332,5554
-12361,7221
-15255,8745
-17975,10110
-20482,11301
-22741,12306
-24719,13117
-26388,13728
-27723,14136
-28703,14341
-29311,14348
-29538,14161
-29376,13789
-28825,13245
-27890,12540
-26579,11691
-24909,10714
-22898,9629
-20572,8453
-17958,7209
-15091,5915
-12006,4593
-8744,3263
-5346,1946
-1858,659
1674,-578
5205,-1751
8687,-2844
12073,-3844
15318,-4739
18377,-5522
21210,-6185
23777,-6723
26043,-7135
27976,-7419
29550,-7579
30742,-7618
31534,-7541
31914,-7357
31876,-7075
31419,-6705
30547,-6258
29270,-5748
27605,-5187
25571,-4589
23196,-3968
20509,-3336
17545,-2707
14344,-2093
10946,-1506
7397,-956
3743,-453
33,-3
-3684,384
-7359,708
-10944,963
-14390,1148
-17652,1263
-20685,1310
-23451,1293
-25911,1217
-28032,1087
-29788,912
-31153,699
-32110,458
-32646,199
-32753,-66
-32431,-331
-31683,-582
-30520,-810
-28957,-1005
-27016,-1158
-24721,-1262
-22104,-1310
-19200,-1295
-16047,-1214
-12687,-1064
-9166,-844
-5530,-555
-1827,-198
1892,221
5580,698
9187,1226
12667,1796
15972,2397
19059,3020
21889,3652
24425,4281
26633,4892
28485,5473
29958,6010
31034,6490
31700,6900
31947,7228
31776,7462
31188,7593
30195,7613
28810,7515
27053,7293
24950,6945
22529,6470
19824,5869
16873,5145
13716,4305
10395,3356
6955,2308
3443,1174
-94,-33
-3611,-1297
-7059,-2602
-10395,-3928
-13573,-5256
-16554,-6567
-19299,-7838
-21773,-9051
-23945,-10184
-25788,-11217
-27281,-12132
-28405,-12911
-29149,-13538
-29505,-13997
-29473,-14278
-29054,-14369
-28258,-14264
-27099,-13957
-25594,-13448
-23767,-12737
-21644,-11828
-19257,-10728
-16639,-9449
-13827,-8002
-10861,-6404
-7780,-4674
-4628,-2832
-1446,-901
1721,1092
4834,3123
7851,5164
10733,7185
13443,9159
15947,11057
18213,12850
20215,14511
21928,16014
23334,17334
24416,18450
25165,19341
25575,19990
25644,20383
25376,20510
24778,20364
23863,19941
22648,19241
21151,18269
19399,17034
17416,15547
15234,13824
12883,11884
10399,9751
7815,7449
5169,5008
2497,2459
-165,-165
-2782,-2831
-5320,-5502
-7745,-8142
-10027,-10715
-12138,-13185
-14051,-15516
-15746,-17675
-17202,-19631
-18405,-21353
-19343,-22815
-20009,-23994
-20397,-24870
-20509,-25427
-20348,-25654
-19922,-25542
-19242,-25090
-18322,-24299
-17180,-23175
-15836,-21731
-14312,-19980
-12633,-17944
-10825,-15646
-8916,-13115
-6935,-10382
-4909,-7481
-2868,-4449
-840,-1327
1146,1844
3067,5025
4896,8170
6611,11239
8191,14188
9618,16978
10876,19569
11952,21925
12836,24012
13523,25800
14007,27263
14288,28378
14368,29127
14253,29498
13949,29482
13468,29077
12822,28285
12025,27114
11094,25577
10047,23691
8903,21480
7682,18970
6404,16194
5091,13186
3762,9985
2437,6633
1137,3174
-121,-347
-1320,-3884
-2444,-7390
-3480,-10817
-4416,-14120
-5242,-17254
-5951,-20177
-6536,-22848
-6995,-25231
-7327,-27292
-7534,-29004
-7617,-30341
-7583,-31284
-7438,-31820
-7192,-31939
-6853,-31639
-6434,-30922
-5946,-29795
-5403,-28274
-4817,-26376
-4203,-24125
-3573,-21551
-2942,-18687
-2321,-15570
-1722,-12240
-1157,-8743
-635,-5122
-165,-1428
246,2292
594,5989
875,9613
1086,13117
1228,16453
1300,19577
1307,22448
1252,25026
1142,27278
983,29174
783,30688
551,31800
298,32495
33,32763
-232,32602
-490,32013
-727,31004
-936,29589
-1106,27787
-1230,25621
-1299,23121
-1308,20320
-1252,17256
-1128,13968
-935,10502
-671,6904
-339,3220
56,-498
513,-4204
1022,-7847
1578,-11380
2169,-14756
2785,-17930
3415,-20861
4046,-23511
4666,-25845
5260,-27834
5815,-29451
6318,-30678
6755,-31499
7115,-31904
7386,-31889
7557,-31457
7619,-30614
7566,-29374
7391,-27754
7090,-25777
6663,-23472
6109,-20870
5430,-18006
4633,-14921
3724,-11656
2712,-8256
1608,-4765
427,-1232
-817,2297
-2109,5777
-3429,9160
-4759,12402
-6079,15462
-7367,18300
-8604,20879
-9770,23168
-10843,25137
-11804,26763
-12636,28027
-13322,28915
-13845,29417
-14194,29530
-14358,29256
-14327,28600
-14096,27575
-13663,26197
-13027,24488
-12191,22473
-11162,20181
-9949,17646
-8563,14902
-7020,11989
-5337,8946
-3534,5816
-1634,2640
338,-537
2359,-3676
4399,-6734
6431,-9671
8427,-12449
10356,-15034
12192,-17393
13905,-19497
15470,-21321
16862,-22844
18057,-24049
19034,-24924
19776,-25461
20266,-25658
20494,-25515
20451,-25040
20132,-24242
19536,-23137
18665,-21744
17527,-20084
16133,-18185
14496,-16073
12635,-13782
10572,-11344
8330,-8793
5938,-6167
3425,-3500
825,-829
-1829,1808
-4502,4380
-7158,6851
-9761,9190
-12273,11368
-14660,13358
-16888,15137
-18923,16685
-20736,17985
-22299,19023
-23587,19792
-24578,20284
-25257,20499
-25608,20440
-25624,20113
-25300,19526
-24635,18694
-23635,17633
-22309,16362
-20671,14903
-18739,13279
-16537,11516
-14090,9642
-11428,7684
-8586,5672
-5599,3633
-2506,1597
651,-408
3834,-2356
6997,-4223
10100,-5983
13099,-7616
15953,-9102
18623,-10425
21071,-11570
23263,-12528
25167,-13289
26754,-13849
28002,-14206
28890,-14361
29404,-14319
29534,-14085
29274,-13669
28627,-13083
27597,-12341
26195,-11458
24437,-10452
22345,-9342
19944,-8148
17264,-6889
14339,-5586
11206,-4261
7905,-2932
4481,-1620
977,-344
-2559,878
-6082,2032
-9544,3103
-12899,4078
-16102,4946
-19108,5699
-21878,6331
-24373,6838
-26559,7218
-28404,7471
-29885,7600
-30978,7609
-31668,7505
-31944,7295
-31801,6990
-31239,6600
-30265,6136
-28890,5612
-27130,5041
-25008,4436
-22552,3810
-19793,3178
-16766,2552
-13511,1943
-10071,1365
-6491,826
-2819,335
897,-99
4609,-472
8266,-778
11820,-1015
15224,-1183
18433,-1281
21403,-1312
24096,-1280
26474,-1189
28507,-1047
30166,-862
31431,-641
32284,-395
32713,-133
32713,133
32284,395
31431,641
30166,862
28507,1047
26474,1189
24096,1280
21403,1312
18433,1281
15224,1183
11820,1015
8266,778
4609,472
897,99
-2819,-335
-6491,-826
-10071,-1365
-13511,-1943
-16766,-2552
-19793,-3178
-22552,-3810
-25008,-4436
-27130,-5041
-28890,-5612
-30265,-6136
-31239,-6600
-31801,-6990
-31944,-7295
-31668,-7505
-30978,-7609
-29885,-7600
-28404,-7471
-26559,-7218
-24373,-6838
-21878,-6331
-19108,-5699
-16102,-4946
-12899,-4078
-9544,-3103
-6082,-2032
-2559,-878
977,344
4481,1620
7905,2932
11206,4261
14339,5586
17264,6889
19944,8148
22345,9342
24437,10452
26195,11458
27597,12341
28627,13083
29274,13669
29534,14085
29404,14319
28890,14361
28002,14206
26754,13849
25167,13289
23263,12528
21071,11570
18623,10425
15953,9102
13099,7616
10100,5983
6997,4223
3834,2356
651,408
-2506,-1597
-5599,-3633
-8586,-5672
-11428,-7684
-14090,-9642
-16537,-11516
-18739,-13279
-20671,-14903
-22309,-16362
-23635,-17633
-24635,-18694
-25300,-19526
-25624,-20113
-25608,-20440
-25257,-20499
-24578,-20284
-23587,-19792
-22299,-19023
-20736,-17985
-18923,-16685
-16888,-15137
-14660,-13358
-12273,-11368
-9761,-9190
-7158,-6851
-4502,-4380
-1829,-1808
825,829
3425,3500
5938,6167
8330,8793
10572,11344
12635,13782
14496,16073
16133,18185
17527,20084
18665,21744
19536,23137
20132,24242
20451,25040
20494,25515
20266,25658
19776,25461
19034,24924
18057,24049
16862,22844
15470,21321
13905,19497
12192,17393
10356,15034
8427,12449
6431,9671
4399,6734
2359,3676
338,537
-1634,-2640
-3534,-5816
-5337,-8946
-7020,-11989
-8563,-14902
-9949,-17646
-11162,-20181
-12191,-22473
-13027,-24488
-13663,-26197
-14096,-27575
-14327,-28600
-14358,-29256
-14194,-29530
-13845,-29417
-13322,-28915
-12636,-28027
-11804,-26763
-10843,-25137
-9770,-23168
-8604,-20879
-7367,-18300
-6079,-15462
-4759,-12402
-3429,-9160
-2109,-5777
-817,-2297
427,1232
1608,4765
2712,8256
3724,11656
4633,14921
5430,18006
6109,20870
6663,23472
7090,25777
7391,27754
7566,29374
7619,30614
7557,31457
7386,31889
7115,31904
6755,31499
6318,30678
5815,29451
5260,27834
4666,25845
4046,23511
3415,20861
2785,17930
2169,14756
1578,11380
1022,7847
513,4204
56,498
-339,-3220
-671,-6904
-935,-10502
-1128,-13968
-1252,-17256
-1308,-20320
-1299,-23121
-1230,-25621
-1106,-27787
-936,-29589
-727,-31004
-490,-32013
-232,-32602
33,-32763
298,-32495
551,-31800
783,-30688
983,-29174
1142,-27278
1252,-25026
1307,-22448
1300,-19577
1228,-16453
1086,-13117
875,-9613
594,-5989
246,-2292
-165,1428
-635,5122
-1157,8743
-1722,12240
-2321,15570
-2942,18687
-3573,21551
-4203,24125
-4817,26376
-5403,28274
-5946,29795
-6434,30922
-6853,31639
-7192,31939
-7438,31820
-7583,31284
-7617,30341
-7534,29004
-7327,27292
-6995,25231
-6536,22848
-5951,20177
-5242,17254
-4416,14120
-3480,10817
-2444,7390
-1320,3884
-121,347
1137,-3174
2437,-6633
3762,-9985
5091,-13186
6404,-16194
7682,-18970
8903,-21480
10047,-23691
11094,-25577
12025,-27114
12822,-28285
13468,-29077
13949,-29482
14253,-29498
14368,-29127
14288,-28378
14007,-27263
13523,-25800
12836,-24012
11952,-21925
10876,-19569
9618,-16978
8191,-14188
6611,-11239
4896,-8170
3067,-5025
1146,-1844
-840,1327
-2868,4449
-4909,7481
-6935,10382
-8916,13115
-10825,15646
-12633,17944
-14312,19980
-15836,21731
-17180,23175
-18322,24299
-19242,25090
-19922,25542
-20348,25654
-20509,25427
-20397,24870
-20009,23994
-19343,22815
-18405,21353
-17202,19631
-15746,17675
-14051,15516
-12138,13185
-10027,10715
-7745,8142
-5320,5502
-2782,2831
-165,165
2497,-2459
5169,-5008
7815,-7449
10399,-9751
12883,-11884
15234,-13824
17416,-15547
19399,-17034
21151,-18269
22648,-19241
23863,-19941
24778,-20364
25376,-20510
25644,-20383
25575,-19990
25165,-19341
24416,-18450
23334,-17334
21928,-16014
20215,-14511
18213,-12850
15947,-11057
13443,-9159
10733,-7185
7851,-5164
4834,-3123
1721,-1092
-1446,901
-4628,2832
-7780,4674
-10861,6404
-13827,8002
-16639,9449
-19257,10728
-21644,11828
-23767,12737
-25594,13448
-27099,13957
-28258,14264
-29054,14369
-29473,14278
-29505,13997
-29149,13538
-28405,12911
-27281,12132
-25788,11217
-23945,10184
-21773,9051
-19299,7838
-16554,6567
-13573,5256
-10395,3928
-7059,2602
-3611,1297
-94,33
3443,-1174
6955,-2308
10395,-3356
13716,-4305
16873,-5145
19824,-5869
22529,-6470
24950,-6945
27053,-7293
28810,-7515
30195,-7613
31188,-7593
31776,-7462
31947,-7228
31700,-6900
31034,-6490
29958,-6010
28485,-5473
26633,-4892
24425,-4281
21889,-3652
19059,-3020
15972,-2397
12667,-1796
9187,-1226
5580,-698
1892,-221
-1827,198
-5530,555
-9166,844
-12687,1064
-16047,1214
-19200,1295
